market,n_runs,n_positive_sharpe,n_positive_annualized_return,mean_sharpe,median_sharpe,min_sharpe,max_sharpe,mean_annualized_return,mean_max_drawdown,best_run_id,best_run_sharpe,best_run_annualized_return,best_run_max_drawdown
us,27,18,18,0.11836037593015945,0.2294962575199619,-0.2582112515321723,0.489012249195197,0.007792647475775111,-0.5149720630850007,us_lb6M_sk3M_q10,0.489012249195197,0.045032399983389,-0.4282036827735759
moex,27,22,22,0.51138288581932,0.6563758497685679,-0.4642996950048548,1.0504014168608455,0.047441309026593104,-0.2122967801549185,moex_lb6M_sk0M_q30,1.0504014168608455,0.0795678928070282,-0.2002069994061032
crypto,27,15,7,-0.0024710998236903703,0.0126770202760554,-0.6746972484407575,0.5729656241696687,-0.057083401168973445,-0.5491515072785152,crypto_lb6M_sk1M_q20,0.5729656241696687,0.1389921014887856,-0.3113283812300682
