run_id,market,lookback_label,lookback_days,skip_label,skip_days,quantile,evaluation_start,evaluation_end,runtime_seconds,rebal_freq,gross_exposure,transaction_cost_bps,portfolio_accounting,annualization_days,start_date,end_date,n_days,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,calmar,daily_hit_rate,n_rebalances,total_turnover,annualized_turnover,avg_rebalance_turnover,avg_n_eligible,avg_n_long,avg_n_short,min_n_long,min_n_short,min_daily_gross_exposure,max_daily_gross_exposure,max_abs_daily_net_exposure,days_with_stale_held_prices,avg_stale_held_gross_exposure,max_stale_held_gross_exposure,n_stale_recovery_events,max_abs_stale_recovery_return,max_abs_stale_recovery_contribution,n_zero_target_rebalances,zero_target_effective_dates,has_zero_target_rebalance
us_lb6M_sk0M_q10,us,6M,126,0M,0,0.1,1992-01-02,2024-12-31,35.078071083000395,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,1.470277458834066,0.0277998404789661,0.1198330786437898,0.2890381220697502,-0.4604428693674424,0.0603763079601115,0.5455420527012393,396,164.3352705692795,4.982852627055521,0.4149880569931299,2242.5454545454545,223.7828282828283,223.7828282828283,120,120,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,7492,0.0081723705114498,0.0688846760649428,3427,3.444445,0.0062648095678963,0,,False
us_lb6M_sk0M_q20,us,6M,126,0M,0,0.2,1992-01-02,2024-12-31,59.37409937499615,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,0.9138588267822768,0.0198771546058009,0.0974219985768056,0.2509465814858257,-0.3969932910215967,0.0500692456405255,0.5481891469137288,396,142.0180075796447,4.306165071600344,0.35863133227183,2242.5454545454545,448.1136363636364,448.1136363636364,241,241,0.9999999999999996,1.0000000000000004,2.775557561562891e-16,8031,0.0065420920879433,0.048286653467927,6713,3.444445,0.0031432704342447,0,,False
us_lb6M_sk0M_q30,us,6M,126,0M,0,0.3,1992-01-02,2024-12-31,77.89150970899937,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,0.6615151186825357,0.0155141247029124,0.0816652811711543,0.2294962575199619,-0.3490607651694342,0.0444453409004071,0.5454217302370352,396,123.9151418313334,3.7572633547703074,0.3129170248265995,2242.5454545454545,672.3131313131313,672.3131313131313,362,362,0.9999999999999996,1.0000000000000004,2.775557561562891e-16,8164,0.0056505579339809,0.0380167337120289,10229,3.444445,0.0020944813160789,0,,False
us_lb6M_sk1M_q10,us,6M,126,1M,21,0.1,1992-01-02,2024-12-31,35.310556165997696,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,3.3901796894282006,0.045877628293093,0.1146482779234014,0.4488132809029431,-0.4592463820910267,0.0998976368288508,0.5394056070268319,396,164.407372392686,4.985038845260122,0.4151701323047627,2227.002525252525,222.21969696969697,222.21969696969697,116,116,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,7302,0.0073696360807565,0.0737598339000307,2825,3.444445,0.0063401617870782,0,,False
us_lb6M_sk1M_q20,us,6M,126,1M,21,0.2,1992-01-02,2024-12-31,60.07721933299763,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,1.690693803716362,0.0304668543688146,0.0933804690647491,0.3682680583526178,-0.364539765861985,0.0835762164294291,0.5394056070268319,396,142.2123882637065,4.312058939051141,0.3591221925851174,2227.002525252525,444.9823232323232,444.9823232323232,232,232,0.9999999999999996,1.0000000000000004,2.775557561562891e-16,7971,0.0060564650039712,0.0414220795783277,5491,3.444445,0.0031489565712519,0,,False
us_lb6M_sk1M_q30,us,6M,126,1M,21,0.3,1992-01-02,2024-12-31,78.35289770799864,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,1.0483559162650202,0.0219795487182483,0.0785851509955123,0.3160911395566306,-0.3215803209810386,0.0683485502197267,0.5361569004933221,396,124.3337825434004,3.769957069057502,0.3139741983419202,2227.002525252525,667.6767676767677,667.6767676767677,348,348,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,8155,0.0053286886777266,0.0359431103308986,8591,3.444445,0.0021001513581177,0,,False
us_lb6M_sk3M_q10,us,6M,126,3M,63,0.1,1992-01-02,2024-12-31,34.63147133399616,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,3.2746678103879434,0.045032399983389,0.1004448313078975,0.489012249195197,-0.4282036827735759,0.1051658399846157,0.5362772229575262,396,164.06701879354108,4.974718894955163,0.4143106535190432,2203.790404040404,219.93686868686868,219.93686868686868,116,116,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,7235,0.006913984703108,0.0657130772910928,2776,3.444445,0.0064429918631454,0,,False
us_lb6M_sk3M_q20,us,6M,126,3M,63,0.2,1992-01-02,2024-12-31,57.40579266699933,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,1.6729775907896096,0.0302604693856223,0.0819233423706554,0.4050355759865759,-0.3628082533534522,0.0834062320962202,0.5338707736734448,396,142.27930399951018,4.314087908540076,0.3592911717159347,2203.790404040404,440.3459595959596,440.3459595959596,233,233,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,7943,0.0058055888681156,0.0503787032858519,5575,3.444445,0.0032072890686377,0,,False
us_lb6M_sk3M_q30,us,6M,126,3M,63,0.3,1992-01-02,2024-12-31,77.24555466600577,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,1.044267730453725,0.0219176423585234,0.0689485388343424,0.3490490889012259,-0.3045013464738376,0.0719788027617361,0.5355552881723018,396,124.54644556368352,3.77640527999618,0.314511226170918,2203.790404040404,660.689393939394,660.689393939394,350,350,0.9999999999999996,1.0000000000000004,2.775557561562891e-16,8148,0.0052076774487986,0.037147122616712,8534,3.444445,0.0021279892654053,0,,False
us_lb12M_sk0M_q10,us,12M,252,0M,0,0.1,1992-01-02,2024-12-31,34.368139999998675,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,1.4573946271986382,0.0276369026617444,0.1244098595182005,0.28167507850003,-0.5701076702613663,0.0484766371395675,0.5349536758512814,396,125.42230865406624,3.80296255334192,0.3167230016516825,2176.777777777778,217.2247474747475,217.2247474747475,115,115,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,7222,0.0075287391828334,0.0939642862409231,3212,3.444445,0.0063946999851994,0,,False
