market,threshold,value_daily_vol,annualized_value,calibration_quantile,rolling_window
crypto,market_vol_q90,0.048758497326850295,0.9315297834604916,0.9,63
crypto,portfolio_vol_q90,0.020416322641722467,0.3900532963929185,0.9,63
moex,market_vol_q90,0.01872058733659272,0.2971801109381362,0.9,63
moex,portfolio_vol_q90,0.006285122457824494,0.09977322589794395,0.9,63
us,market_vol_q90,0.015818905886580463,0.2511173459341658,0.9,63
us,portfolio_vol_q90,0.011094228793320133,0.17611542225106364,0.9,63
