market,feature,threshold,validation_n,validation_exceedance_share,oos_n,oos_missing_feature_days,oos_min,oos_median,oos_q90,oos_max,oos_exceedance_days,oos_exceedance_share,first_oos_exceedance
crypto,market_vol,0.048758497326850295,912,0.10087719298245613,731,0,0.014561097749130943,0.024297896076690317,0.03172618759069547,0.03606853330324826,0,0.0,did_not_fire
crypto,portfolio_vol,0.020416322641722467,912,0.10087719298245613,731,0,0.004657279100169886,0.00979676173013859,0.014151278054669564,0.018344984626358377,0,0.0,did_not_fire
moex,market_vol,0.01872058733659272,1753,0.10039931545921278,510,0,0.005454301039149583,0.008662378019606815,0.01488992939758826,0.018444591174748767,0,0.0,did_not_fire
moex,portfolio_vol,0.006285122457824494,1834,0.10032715376226826,510,0,0.002411042819801415,0.0042023442939081185,0.00798867005385379,0.008329851166431756,99,0.19411764705882353,2023-09-15
us,market_vol,0.015818905886580463,3209,0.1000311623558741,502,0,0.005770958641267201,0.00767334340607041,0.01081179296575591,0.015793385131107875,0,0.0,did_not_fire
us,portfolio_vol,0.011094228793320133,3209,0.1000311623558741,502,0,0.004446804099080732,0.005895915546679675,0.007771982248190211,0.0105356667264588,0,0.0,did_not_fire
