run_id,market,lookback_label,lookback_days,skip_label,skip_days,quantile,evaluation_start,evaluation_end,runtime_seconds,rebal_freq,gross_exposure,transaction_cost_bps,portfolio_accounting,annualization_days,start_date,end_date,n_days,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,calmar,daily_hit_rate,n_rebalances,total_turnover,annualized_turnover,avg_rebalance_turnover,avg_n_eligible,avg_n_long,avg_n_short,min_n_long,min_n_short,min_daily_gross_exposure,max_daily_gross_exposure,max_abs_daily_net_exposure,days_with_stale_held_prices,avg_stale_held_gross_exposure,max_stale_held_gross_exposure,n_stale_recovery_events,max_abs_stale_recovery_return,max_abs_stale_recovery_contribution
us_lb6M_sk0M_q10,us,6M,126,0M,0,0.1,1992-01-02,2024-12-31,35.078071083000395,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,1.4702774588340661,0.02779984047896611,0.1198330786437898,0.28903812206975027,-0.4604428693674424,0.060376307960111536,0.5455420527012393,396,164.3352705692795,4.982852627055521,0.41498805699312996,2242.5454545454545,223.7828282828283,223.7828282828283,120,120,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,7492,0.008172370511449893,0.06888467606494286,3427,3.444445,0.00626480956789633
us_lb6M_sk0M_q20,us,6M,126,0M,0,0.2,1992-01-02,2024-12-31,59.37409937499615,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,0.9138588267822769,0.019877154605800973,0.09742199857680565,0.2509465814858257,-0.39699329102159675,0.05006924564052555,0.5481891469137288,396,142.0180075796447,4.306165071600344,0.35863133227183003,2242.5454545454545,448.1136363636364,448.1136363636364,241,241,0.9999999999999996,1.0000000000000004,2.7755575615628914e-16,8031,0.006542092087943324,0.048286653467927,6713,3.444445,0.0031432704342447696
us_lb6M_sk0M_q30,us,6M,126,0M,0,0.3,1992-01-02,2024-12-31,77.89150970899937,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,0.6615151186825357,0.015514124702912468,0.08166528117115433,0.22949625751996192,-0.3490607651694342,0.04444534090040715,0.5454217302370352,396,123.91514183133341,3.7572633547703074,0.31291702482659955,2242.5454545454545,672.3131313131313,672.3131313131313,362,362,0.9999999999999996,1.0000000000000004,2.7755575615628914e-16,8164,0.005650557933980903,0.038016733712028905,10229,3.444445,0.0020944813160789543
us_lb6M_sk1M_q10,us,6M,126,1M,21,0.1,1992-01-02,2024-12-31,35.310556165997696,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,3.3901796894282006,0.04587762829309305,0.11464827792340145,0.4488132809029431,-0.45924638209102675,0.09989763682885083,0.5394056070268319,396,164.407372392686,4.985038845260122,0.4151701323047627,2227.002525252525,222.21969696969697,222.21969696969697,116,116,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,7302,0.00736963608075658,0.07375983390003071,2825,3.444445,0.006340161787078255
us_lb6M_sk1M_q20,us,6M,126,1M,21,0.2,1992-01-02,2024-12-31,60.07721933299763,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,1.690693803716362,0.03046685436881469,0.09338046906474913,0.36826805835261783,-0.364539765861985,0.08357621642942915,0.5394056070268319,396,142.2123882637065,4.312058939051141,0.3591221925851174,2227.002525252525,444.9823232323232,444.9823232323232,232,232,0.9999999999999996,1.0000000000000004,2.7755575615628914e-16,7971,0.006056465003971266,0.0414220795783277,5491,3.444445,0.0031489565712519963
us_lb6M_sk1M_q30,us,6M,126,1M,21,0.3,1992-01-02,2024-12-31,78.35289770799864,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,1.0483559162650202,0.021979548718248365,0.07858515099551237,0.31609113955663065,-0.3215803209810386,0.06834855021972674,0.5361569004933221,396,124.33378254340039,3.769957069057502,0.3139741983419202,2227.002525252525,667.6767676767677,667.6767676767677,348,348,0.9999999999999997,1.0000000000000004,3.3306690738754696e-16,8155,0.005328688677726677,0.035943110330898684,8591,3.444445,0.0021001513581177947
us_lb6M_sk3M_q10,us,6M,126,3M,63,0.1,1992-01-02,2024-12-31,34.63147133399616,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,3.2746678103879434,0.04503239998338904,0.10044483130789754,0.489012249195197,-0.4282036827735759,0.10516583998461573,0.5362772229575262,396,164.06701879354108,4.974718894955163,0.4143106535190432,2203.790404040404,219.93686868686868,219.93686868686868,116,116,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,7235,0.006913984703108066,0.06571307729109288,2776,3.444445,0.006442991863145487
us_lb6M_sk3M_q20,us,6M,126,3M,63,0.2,1992-01-02,2024-12-31,57.40579266699933,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,1.6729775907896096,0.030260469385622324,0.08192334237065546,0.40503557598657597,-0.36280825335345224,0.08340623209622026,0.5338707736734448,396,142.27930399951018,4.314087908540076,0.3592911717159347,2203.790404040404,440.3459595959596,440.3459595959596,233,233,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,7943,0.00580558886811561,0.050378703285851985,5575,3.444445,0.0032072890686377802
us_lb6M_sk3M_q30,us,6M,126,3M,63,0.3,1992-01-02,2024-12-31,77.24555466600577,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,1.0442677304537247,0.021917642358523448,0.06894853883434245,0.3490490889012259,-0.30450134647383764,0.07197880276173617,0.5355552881723018,396,124.54644556368353,3.77640527999618,0.31451122617091803,2203.790404040404,660.689393939394,660.689393939394,350,350,0.9999999999999997,1.0000000000000004,2.7755575615628914e-16,8148,0.0052076774487986996,0.03714712261671207,8534,3.444445,0.0021279892654053434
us_lb12M_sk0M_q10,us,12M,252,0M,0,0.1,1992-01-02,2024-12-31,34.368139999998675,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,1.4573946271986382,0.027636902661744456,0.1244098595182005,0.28167507850003004,-0.5701076702613663,0.048476637139567506,0.5349536758512814,396,125.42230865406624,3.80296255334192,0.3167230016516825,2176.777777777778,217.2247474747475,217.2247474747475,115,115,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,7222,0.007528739182833487,0.09396428624092311,3212,3.444445,0.006394699985199487
us_lb12M_sk0M_q20,us,12M,252,0M,0,0.2,1992-01-02,2024-12-31,57.42751383299765,ME,1.0,0.0,fixed_notional_sleeves,252,1992-01-02,2024-12-31,8311,1.1377248036270005,0.023303723799752873,0.09973469148062829,0.2810607812137179,-0.4505348090284651,0.051724580060761804,0.5398868968836482,396,108.10478880902431,3.277873514604034,0.2729918909318796,2176.777777777778,434.95454545454544,434.95454545454544,230,230,0.9999999999999996,1.0000000000000004,3.3306690738754696e-16,7940,0.00644942672771808,0.05916138495112926,6574,3.444445,0.003196898062500901
