market,run_id,selection_eligible,exclusion_reason,n_folds,top_fraction_rank_cutoff,median_train_rank,mean_train_rank,median_test_rank,mean_test_rank,worst_test_rank,median_absolute_rank_change,test_top_fraction_share,positive_test_net_sharpe_share,mean_test_net_sharpe,median_test_net_sharpe,worst_test_net_sharpe,mean_test_net_information_ratio,passes_median_train_top_fraction,passes_median_test_top_fraction,passes_test_top_fraction_share,passes_positive_test_sharpe_share,passes_rank_change_limit,stable_config
moex,moex_lb6M_sk0M_q10,True,,4,8,12.5,10.75,9.0,12.0,24.0,6.5,0.5,0.75,1.0542564823000273,0.39492475066298594,-0.2192818349048261,0.2964779162328096,False,False,True,True,True,False
moex,moex_lb6M_sk1M_q10,True,,4,8,6.5,6.25,10.0,11.5,18.0,4.0,0.25,0.75,0.9914147857635395,0.5380816785519672,-0.07904091054463039,0.2893866554946004,True,False,False,True,True,False
moex,moex_lb6M_sk0M_q30,True,,4,8,1.5,1.5,11.5,12.5,24.0,10.5,0.5,0.5,1.1381612402431036,0.3909462476407481,-0.4737608695547173,0.12917929534223999,True,False,True,True,False,False
moex,moex_lb24M_sk0M_q20,True,,4,8,11.5,11.75,11.5,12.0,16.0,3.0,0.0,1.0,0.4549954910564661,0.46387067697866413,0.3072191210404021,-0.1406937203741969,False,False,False,True,True,False
moex,moex_lb6M_sk0M_q20,True,,4,8,3.5,3.5,16.5,14.25,19.0,13.5,0.25,0.75,1.0863287170597686,0.28693466042048305,-0.15509384675768023,0.2039881701443143,True,False,False,True,False,False
moex,moex_lb24M_sk0M_q30,True,,4,8,15.5,15.75,16.5,16.5,23.0,5.0,0.0,0.75,0.15601349464154796,0.3923479269903171,-0.6794513383316931,-0.2714885818537539,False,False,False,True,True,False
moex,moex_lb24M_sk1M_q20,True,,4,8,17.5,17.75,17.0,16.5,19.0,0.5,0.0,0.5,0.1601423872769184,0.13745409584290105,-0.034075884137847484,-0.25342624033544114,False,False,False,True,True,False
moex,moex_lb24M_sk3M_q20,True,,4,8,21.0,21.0,18.0,18.0,23.0,4.0,0.0,0.5,-0.0715417471087327,-0.1370620958100327,-0.5586075540465022,-0.3321501066982716,False,False,False,True,True,False
moex,moex_lb24M_sk3M_q10,True,,4,8,21.0,20.75,19.5,19.0,21.0,1.0,0.0,0.5,-0.0440241114703742,-0.05108254255456307,-0.38990057800598943,-0.291305213413943,False,False,False,True,True,False
moex,moex_lb24M_sk0M_q10,True,,4,8,17.5,16.75,20.0,19.0,22.0,4.0,0.0,0.5,-0.04418124037033373,-0.012559774204203886,-0.26877220678129343,-0.27013394758704523,False,False,False,True,True,False
