market,fold,run_id,selection_eligible,exclusion_reason,train_planned_start,train_planned_end,train_actual_common_start,train_actual_common_end,train_common_n_days,train_gross_n_days,train_gross_start,train_gross_end,train_gross_total_return,train_gross_annualized_return,train_gross_annualized_volatility,train_gross_sharpe,train_gross_sortino,train_gross_max_drawdown,train_gross_calmar,train_gross_hit_rate,train_gross_annualized_turnover,train_net_n_days,train_net_start,train_net_end,train_net_total_return,train_net_annualized_return,train_net_annualized_volatility,train_net_sharpe,train_net_sortino,train_net_max_drawdown,train_net_calmar,train_net_hit_rate,train_net_annualized_turnover,train_net_information_ratio_vs_benchmark,train_net_correlation_to_benchmark,train_net_beta_to_benchmark,train_transaction_cost_annualized_return_drag,train_rank_all,train_rank_eligible,test_planned_start,test_planned_end,test_actual_common_start,test_actual_common_end,test_common_n_days,test_gross_n_days,test_gross_start,test_gross_end,test_gross_total_return,test_gross_annualized_return,test_gross_annualized_volatility,test_gross_sharpe,test_gross_sortino,test_gross_max_drawdown,test_gross_calmar,test_gross_hit_rate,test_gross_annualized_turnover,test_net_n_days,test_net_start,test_net_end,test_net_total_return,test_net_annualized_return,test_net_annualized_volatility,test_net_sharpe,test_net_sortino,test_net_max_drawdown,test_net_calmar,test_net_hit_rate,test_net_annualized_turnover,test_net_information_ratio_vs_benchmark,test_net_correlation_to_benchmark,test_net_beta_to_benchmark,test_transaction_cost_annualized_return_drag,test_rank_all,test_rank_eligible,top_fraction_rank_cutoff,rank_change,absolute_rank_change,train_top_fraction,test_top_fraction,top_fraction_retained
crypto,crypto_f1,crypto_lb24M_sk3M_q20,True,,2018-01-01,2020-12-31,2020-05-01,2020-12-31,245,245,2020-05-01,2020-12-31,0.24862414972798108,0.39207809066996036,0.400845739217255,1.0269170915284025,1.2491157473794203,-0.3769932188353725,1.0400136423705149,0.5673469387755102,3.198135601933326,245,2020-05-01,2020-12-31,0.24595402448985126,0.3876454482727141,0.40083158135971336,1.0189746119332446,1.2396116636180967,-0.37730171905569965,1.0274150068621537,0.5673469387755102,3.198135601933326,-2.11321417655509,-0.14583197285513036,-0.10403759067498138,0.004432642397246278,1.0,1.0,2021-01-01,2021-12-31,2021-01-01,2021-12-31,365,365,2021-01-01,2021-12-31,-0.09221854355049264,-0.09221854355049264,0.5649186691110216,0.11296754059323184,0.1312564998694996,-0.3444203498654923,-0.26774998511704395,0.5260273972602739,4.015756148345694,365,2021-01-01,2021-12-31,-0.09580719521575554,-0.09580719521575554,0.5648188759114311,0.1058776876743504,0.12300548332925855,-0.34585634592842573,-0.2770144204194612,0.5260273972602739,4.015756148345694,-0.7300057155071119,-0.043753307816070515,-0.030473251575869584,0.0035886516652628986,23.0,23.0,9,22.0,22.0,True,False,False
crypto,crypto_f1,crypto_lb24M_sk3M_q10,True,,2018-01-01,2020-12-31,2020-05-01,2020-12-31,245,245,2020-05-01,2020-12-31,0.25671613072478894,0.4055398392245071,0.424559169493723,1.0148982485221847,1.28151724463894,-0.3769932188353725,1.075721840507695,0.5591836734693878,3.724489795918367,245,2020-05-01,2020-12-31,0.2535895867348841,0.40033349957621556,0.424536857321109,1.0061785221964874,1.2717146722268209,-0.37730171905569965,1.0610434020236093,0.5551020408163265,3.724489795918367,-2.047218540689123,-0.1421491088433854,-0.1074076327787201,0.005206339648291536,2.0,2.0,2021-01-01,2021-12-31,2021-01-01,2021-12-31,365,365,2021-01-01,2021-12-31,-0.1753042730536769,-0.1753042730536769,0.832810835752843,0.2082342653631733,0.22994290668856027,-0.6258099970840056,-0.2801237977509409,0.5041095890410959,5.545830613739805,365,2021-01-01,2021-12-31,-0.17980241349155546,-0.17980241349155546,0.8327157795831054,0.20159810354475202,0.22301724544975698,-0.6261845963441248,-0.28713963029640477,0.5013698630136987,5.545830613739805,-0.5435443110178336,0.01189107904819692,0.012210030915855057,0.0044981404378785506,22.0,22.0,9,20.0,20.0,True,False,False
crypto,crypto_f1,crypto_lb24M_sk0M_q30,True,,2018-01-01,2020-12-31,2020-05-01,2020-12-31,245,245,2020-05-01,2020-12-31,0.15159882991862017,0.23403165381374658,0.2779323886686924,0.8967924665050966,0.968485784098629,-0.18727945179964356,1.249638716713672,0.5877551020408164,4.124879419940338,245,2020-05-01,2020-12-31,0.148421360862258,0.22896245298432638,0.2779096054443811,0.8820234642266318,0.9525596343756371,-0.1883188148670949,1.2158235657223924,0.5877551020408164,4.124879419940338,-2.7961590272671444,0.04776430392260834,0.023625587322085317,0.005069200829420195,3.0,3.0,2021-01-01,2021-12-31,2021-01-01,2021-12-31,365,365,2021-01-01,2021-12-31,0.11162343296005273,0.11162343296005273,0.38391840085334683,0.4691736903173609,0.5805220385242498,-0.3746455786261297,0.2979440818957193,0.5205479452054794,4.381124382910658,365,2021-01-01,2021-12-31,0.10679033463666587,0.10679033463666587,0.3838575205242341,0.4578346889913251,0.5665939829881322,-0.3751690551207374,0.2846459034375809,0.5205479452054794,4.381124382910658,-0.6990149770414034,0.02876011755562827,0.013613174563579597,0.004833098323386853,21.0,21.0,9,18.0,18.0,True,False,False
crypto,crypto_f1,crypto_lb24M_sk0M_q20,True,,2018-01-01,2020-12-31,2020-05-01,2020-12-31,245,245,2020-05-01,2020-12-31,0.14981244934145033,0.23118089291065513,0.3146728256421711,0.8205401238202273,0.8917438353236606,-0.2249728384830425,1.0275946841826444,0.5469387755102041,4.703481279878585,245,2020-05-01,2020-12-31,0.1461927438608499,0.2254111064037474,0.3146615880952751,0.8056216825507588,0.8758692604294387,-0.22497283848304228,1.0019480925949118,0.5469387755102041,4.703481279878585,-2.646755693088579,-0.0087208988025846,-0.004884055384564674,0.005769786506907737,4.0,4.0,2021-01-01,2021-12-31,2021-01-01,2021-12-31,365,365,2021-01-01,2021-12-31,-0.09825987581323237,-0.09825987581323237,0.4287930159132576,-0.024970415584808864,-0.03222116899022886,-0.4503553212259702,-0.21818300169241145,0.5068493150684932,5.0810142992923115,365,2021-01-01,2021-12-31,-0.10283541607462576,-0.10283541607462576,0.4288048941204552,-0.03681896900662449,-0.047523673679015756,-0.45150455793800115,-0.22776163444344835,0.5068493150684932,5.0810142992923115,-0.8851834110583885,0.0010009523921436809,0.0005292633950063272,0.004575540261393396,24.0,24.0,9,20.0,20.0,True,False,False
crypto,crypto_f1,crypto_lb6M_sk0M_q30,True,,2018-01-01,2020-12-31,2020-05-01,2020-12-31,245,245,2020-05-01,2020-12-31,0.115733745257665,0.17721433201162107,0.29543924492403695,0.6994827571330908,1.1170934361218365,-0.19169086250148648,0.9244798093088389,0.5346938775510204,5.149366991026091,245,2020-05-01,2020-12-31,0.1118761325735047,0.17115573212664392,0.29548266885080055,0.6819529937151912,1.0888624025606832,-0.19235796888780965,0.8897771852980436,0.5346938775510204,5.149366991026091,-2.9735465454338166,0.15531555541028255,0.08168128662071164,0.006058599884977145,5.0,5.0,2021-01-01,2021-12-31,2021-01-01,2021-12-31,365,365,2021-01-01,2021-12-31,0.20637538944331202,0.20637538944331202,0.3554492596024791,0.7034983894006395,1.0434279330024234,-0.22245923259180334,0.9276998173503367,0.5287671232876713,6.140172156787684,365,2021-01-01,2021-12-31,0.19899062529372502,0.19899062529372502,0.35545923956716496,0.6862047243003717,1.0180224161171283,-0.22381216758365674,0.8890965466359022,0.5287671232876713,6.140172156787684,-0.6438847428692581,0.08516626398222911,0.03732983813307252,0.0073847641495869976,14.0,14.0,9,9.0,9.0,True,False,False
crypto,crypto_f1,crypto_lb12M_sk3M_q30,True,,2018-01-01,2020-12-31,2020-05-01,2020-12-31,245,245,2020-05-01,2020-12-31,0.09531944102758017,0.14526955696871413,0.23121678735376783,0.7023712470885007,0.8934325678575863,-0.23631629607409121,0.6147250925224742,0.5591836734693878,5.142858260934447,245,2020-05-01,2020-12-31,0.09152956812989044,0.13937094309350218,0.2313148969661877,0.6798401965590443,0.8651372383257309,-0.2371866513712928,0.5876002814143635,0.5591836734693878,5.142858260934447,-3.084590716484181,0.10007525468387786,0.041200824752609236,0.0058986138752119555,6.0,6.0,2021-01-01,2021-12-31,2021-01-01,2021-12-31,365,365,2021-01-01,2021-12-31,0.2304937560237461,0.2304937560237461,0.3363278544875374,0.7853549770582314,1.0597972543652894,-0.2758422126234936,0.8356000114397097,0.5232876712328767,5.169410055867089,365,2021-01-01,2021-12-31,0.22417448432465403,0.22417448432465403,0.3362705720771056,0.7701159896021376,1.039161083655245,-0.27660257926471876,0.8104569556819312,0.5232876712328767,5.169410055867089,-0.6110494177452459,-0.0025432855104748965,-0.0010545876539325945,0.006319271699092077,12.0,12.0,9,6.0,6.0,True,False,False
crypto,crypto_f1,crypto_lb12M_sk3M_q20,True,,2018-01-01,2020-12-31,2020-05-01,2020-12-31,245,245,2020-05-01,2020-12-31,0.08708014883636084,0.1324585936885434,0.3101967726617743,0.5568571176265774,0.68670914449005,-0.26392729877835064,0.501875305440775,0.5346938775510204,5.644283947999786,245,2020-05-01,2020-12-31,0.0829573719382728,0.1260660520175214,0.3102566029558733,0.5385574236989483,0.6647204327957122,-0.26468540646522587,0.4762863721921286,0.5346938775510204,5.644283947999786,-2.84842104104514,0.039775886613421296,0.021964256406985825,0.0063925416710219896,7.0,7.0,2021-01-01,2021-12-31,2021-01-01,2021-12-31,365,365,2021-01-01,2021-12-31,0.48517186561542225,0.48517186561542225,0.4302560120869634,1.137034206105812,1.4251721480927955,-0.2746932586425168,1.766231424873882,0.5315068493150685,5.333925162885139,365,2021-01-01,2021-12-31,0.47734415366680527,0.47734415366680527,0.4301503768319717,1.1249132955001113,1.409714733481423,-0.2761438739829748,1.728606710631702,0.5315068493150685,5.333925162885139,-0.34161118383506534,0.012093164903725839,0.0064144435232284455,0.007827711948616978,7.0,7.0,9,0.0,0.0,True,True,True
crypto,crypto_f1,crypto_lb24M_sk0M_q10,True,,2018-01-01,2020-12-31,2020-05-01,2020-12-31,245,245,2020-05-01,2020-12-31,0.05467999118728595,0.08254294678848817,0.44516716416017543,0.3999682613614838,0.536430210902103,-0.24435312877955973,0.33780188205796746,0.5306122448979592,5.214285714285714,245,2020-05-01,2020-12-31,0.05099369871549864,0.07691086598141594,0.4451746080127478,0.38824867330513285,0.520954342465565,-0.24548571771587624,0.31330077650558935,0.5306122448979592,5.214285714285714,-2.404381463014921,-0.08246359128502403,-0.0653383604328276,0.005632080807072226,8.0,8.0,2021-01-01,2021-12-31,2021-01-01,2021-12-31,365,365,2021-01-01,2021-12-31,-0.42891898623094304,-0.42891898623094304,0.6470427562157053,-0.5259371479767629,-0.5964689666160933,-0.750398862305648,-0.5715880017635718,0.4849315068493151,5.394794675080632,365,2021-01-01,2021-12-31,-0.4320288321969522,-0.4320288321969522,0.6471295784580304,-0.5342030839046445,-0.6067445384996839,-0.7509712235762437,-0.5752934581694923,0.4821917808219178,5.394794675080632,-1.0867900735344171,-0.025695604432781273,-0.020504481495748114,0.0031098459660091615,26.0,26.0,9,18.0,18.0,True,False,False
crypto,crypto_f1,crypto_lb12M_sk3M_q10,True,,2018-01-01,2020-12-31,2020-05-01,2020-12-31,245,245,2020-05-01,2020-12-31,0.03956709476474396,0.05951429856972523,0.4300588047156511,0.34925234064556504,0.4874402625536154,-0.25371048143033315,0.23457564005319734,0.5265306122448979,6.163788521275555,245,2020-05-01,2020-12-31,0.03527151099838677,0.05299856589334917,0.4300746863930324,0.33490754094108677,0.46781953018062555,-0.25429634383705646,0.20841261456479554,0.5265306122448979,6.163788521275555,-2.4781314707284783,-0.08040593735736665,-0.06154710127951157,0.006515732676376063,9.0,9.0,2021-01-01,2021-12-31,2021-01-01,2021-12-31,365,365,2021-01-01,2021-12-31,0.22596835888977673,0.22596835888977673,0.5753489753887377,0.6476941638133105,0.792584767905262,-0.45993973657419196,0.4912999267531785,0.5123287671232877,5.428444193971665,365,2021-01-01,2021-12-31,0.21938415870599792,0.21938415870599792,0.5752793132144893,0.6383364061352325,0.7810801732946738,-0.4611207451797412,0.47576293411063886,0.5123287671232877,5.428444193971665,-0.4381986149035093,0.03384950799807099,0.024012082170628855,0.00658420018377881,15.0,15.0,9,6.0,6.0,True,False,False
crypto,crypto_f1,crypto_lb6M_sk3M_q10,True,,2018-01-01,2020-12-31,2020-05-01,2020-12-31,245,245,2020-05-01,2020-12-31,0.015605584280776519,0.02333775431016827,0.4212456878630752,0.2633426111881909,0.4065898819195831,-0.28538435005645413,0.0817765736122238,0.49387755102040815,7.691787821706678,245,2020-05-01,2020-12-31,0.010430865177771587,0.015579486758759975,0.4210475241111355,0.24519833429698762,0.37879680125045817,-0.2864011777465668,0.05439742560188104,0.49387755102040815,7.691787821706678,-2.5341195682544098,-0.09796609317014464,-0.07341461233897403,0.007758267551408293,10.0,10.0,2021-01-01,2021-12-31,2021-01-01,2021-12-31,365,365,2021-01-01,2021-12-31,0.16837228834705797,0.16837228834705797,0.5094671968197123,0.5627641443264801,0.713870799502744,-0.4856585791734893,0.3466885906424217,0.5205479452054794,8.262134049018165,365,2021-01-01,2021-12-31,0.15893459758194206,0.15893459758194206,0.5091625514574384,0.546873952600407,0.6932762655451395,-0.4867556510679226,0.32651823812059677,0.5205479452054794,8.262134049018165,-0.5579054813592877,0.06861686144456998,0.043081022903443435,0.009437690765115914,18.0,18.0,9,8.0,8.0,False,False,False
