market,portfolio_type,portfolio_members,sample,transaction_cost_bps,is_primary_cost,n_days,start,end,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,hit_rate,annualized_turnover
crypto,base_strategy,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,retrospective_holdout,0.0,False,731,2023-01-01,2024-12-31,-0.24761135796415512,-0.13242779800295656,0.20441341417867465,-0.5926121714369927,-0.8033704276863367,-0.28342921925681275,-0.4672341064559222,0.4993160054719562,5.82964233995448
crypto,base_strategy,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,retrospective_holdout,5.0,False,731,2023-01-01,2024-12-31,-0.25201413477155743,-0.13496644998621798,0.2044843028215133,-0.6066612287865046,-0.8228638229041791,-0.28746356702039033,-0.4695080193471772,0.4993160054719562,5.82964233995448
crypto,base_strategy,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,retrospective_holdout,10.0,True,731,2023-01-01,2024-12-31,-0.2563922434477488,-0.13749830807456065,0.20455861509628387,-0.6206901602626991,-0.8423222627185868,-0.2914762099201691,-0.4717308081926115,0.4993160054719562,5.82964233995448
crypto,base_strategy,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,retrospective_holdout,20.0,False,731,2023-01-01,2024-12-31,-0.2650749840607878,-0.14254170848980818,0.20471749545654863,-0.6486849676967102,-0.8811223243147571,-0.29943682600088084,-0.4760326590203333,0.4993160054719562,5.82964233995448
crypto,base_strategy,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,validation,0.0,False,975,2020-05-01,2022-12-31,0.6692520005564244,0.21144324394846703,0.2518658901473072,0.8881104691346353,1.169778712113494,-0.2403668025434066,0.8796690795530452,0.5364102564102564,5.391921993310064
crypto,base_strategy,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,validation,5.0,False,975,2020-05-01,2022-12-31,0.6573062129431722,0.20819043066181853,0.2518422450015053,0.8774888933338475,1.155973767532243,-0.24097648196675814,0.8639450163876891,0.5364102564102564,5.391921993310064
crypto,base_strategy,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,validation,10.0,True,975,2020-05-01,2022-12-31,0.6454431572334962,0.20494559572327598,0.25182102240593074,0.8668569834989537,1.1421419804826318,-0.2415858366131599,0.8483344826685587,0.5364102564102564,5.391921993310064
crypto,base_strategy,crypto_lb6M_sk1M_q30+crypto_lb12M_sk3M_q20,validation,20.0,False,975,2020-05-01,2022-12-31,0.6219630294443161,0.1984797900167432,0.25178584724584907,0.8455633714123594,1.1144006330709022,-0.24280357191962487,0.8174500418076464,0.5364102564102564,5.391921993310064
crypto,best_frozen_single,crypto_lb6M_sk1M_q30,retrospective_holdout,0.0,False,731,2023-01-01,2024-12-31,0.06041900057204286,0.029725159148708435,0.23365037355210203,0.241844766558197,0.3731918845230514,-0.23247380404731788,0.1278645534731223,0.4993160054719562,5.967830244780887
crypto,best_frozen_single,crypto_lb6M_sk1M_q30,retrospective_holdout,5.0,False,731,2023-01-01,2024-12-31,0.05408360968742998,0.02664875252056964,0.23368641496931408,0.22903858117974668,0.353562647401863,-0.23334386796584383,0.11420378325292184,0.4993160054719562,5.967830244780887
crypto,best_frozen_single,crypto_lb6M_sk1M_q30,retrospective_holdout,10.0,True,731,2023-01-01,2024-12-31,0.04778443859873627,0.023580741633925983,0.23372565548832022,0.21623338566564984,0.3338391381291317,-0.23421319241510308,0.1006806721294039,0.49794801641586867,5.967830244780887
crypto,best_frozen_single,crypto_lb6M_sk1M_q30,retrospective_holdout,20.0,False,731,2023-01-01,2024-12-31,0.03529396575010235,0.01746982411265896,0.2338137272576106,0.1906280699647462,0.2944828892213844,-0.23594962458102808,0.07404048276694589,0.49658002735978113,5.967830244780887
crypto,best_frozen_single,crypto_lb6M_sk1M_q30,validation,0.0,False,975,2020-05-01,2022-12-31,0.6130797806458113,0.1960183147366168,0.26753594033826933,0.8023781512554022,1.2218926121502485,-0.2868007912486328,0.6834650416521515,0.49948717948717947,5.435734527659577
crypto,best_frozen_single,crypto_lb6M_sk1M_q30,validation,5.0,False,975,2020-05-01,2022-12-31,0.6014253390826536,0.19277606845377848,0.2675283366918295,0.7922417810391125,1.2064308713979455,-0.28717894155156953,0.6712750851864294,0.49846153846153846,5.435734527659577
